Date,Price,Open,High,Low,Vol.,Change %,Year
2018-01-30,50.52,51.66,51.84,50.33,4.15M,-3.42%,2018
2018-01-29,52.31,53.15,53.56,52.2,3.31M,-2.57%,2018
2018-01-26,53.69,53.54,53.85,53.2,2.24M,0.19%,2018
2018-01-25,53.59,54.3,54.52,53.24,4.56M,-0.54%,2018
2018-01-24,53.88,53.55,54.25,53.14,3.07M,0.48%,2018
2018-01-23,53.62,53.92,54.33,53.12,3.88M,0.28%,2018
2018-01-22,53.47,52.64,53.52,51.62,4.95M,1.63%,2018
2018-01-19,52.61,53.08,53.08,51.65,9.13M,-2.28%,2018
2018-01-18,53.84,53.84,54.56,53.38,3.25M,-0.33%,2018
2018-01-17,54.02,53.9,54.65,53.37,5.97M,0.90%,2018
2018-01-16,53.54,54.67,54.82,53.34,5.03M,-1.83%,2018
2018-01-12,54.54,54.6,55.05,53.61,3.68M,-0.33%,2018
2018-01-11,54.72,53.41,55.48,53.18,5.53M,3.25%,2018
2018-01-10,53.0,52.74,53.36,52.42,3.38M,1.03%,2018
2018-01-09,52.46,52.62,52.9,51.97,3.33M,-0.06%,2018
2018-01-08,52.49,52.26,52.55,51.6,3.99M,0.63%,2018
2018-01-05,52.16,51.34,52.55,50.85,7.00M,3.10%,2018
2018-01-04,50.59,49.43,50.64,49.07,3.84M,2.41%,2018
2018-01-03,49.4,48.04,49.9,47.84,3.69M,3.24%,2018
2018-01-02,47.85,47.97,48.04,47.02,2.87M,0.80%,2018
2017-12-29,47.47,48.54,48.54,47.07,2.77M,-1.84%,2017
2017-12-28,48.36,48.29,48.75,48.16,3.23M,0.46%,2017
2017-12-27,48.14,48.4,48.56,47.7,2.48M,-0.66%,2017
2017-12-26,48.46,47.25,48.57,47.08,3.59M,3.08%,2017
2017-12-22,47.01,46.51,47.16,46.2,2.72M,1.45%,2017
2017-12-21,46.34,44.17,46.44,44.01,6.46M,5.34%,2017
2017-12-20,43.99,43.61,44.04,43.15,3.36M,1.45%,2017
2017-12-19,43.36,43.79,43.98,43.03,5.36M,-0.55%,2017
2017-12-18,43.6,43.52,44.31,43.34,3.96M,0.46%,2017
2017-12-15,43.4,44.01,44.66,43.35,8.30M,1.71%,2017
2017-12-14,42.67,43.79,43.85,42.35,8.03M,-3.24%,2017
2017-12-13,44.1,45.41,45.48,44.01,4.31M,-2.88%,2017
2017-12-12,45.41,45.79,45.94,45.23,3.04M,-0.76%,2017
2017-12-11,45.76,45.44,46.28,45.44,2.88M,0.59%,2017
2017-12-08,45.49,45.06,45.59,44.78,2.29M,2.00%,2017
2017-12-07,44.6,44.67,45.12,44.46,4.14M,-0.16%,2017
2017-12-06,44.67,45.88,45.97,44.6,3.13M,-3.50%,2017
2017-12-05,46.29,46.59,47.08,45.97,2.28M,-0.60%,2017
