Date,Price,Open,High,Low,Vol.,Change %,Year
2021-12-13,50.69,51.49,52.11,50.16,1.47M,-2.91%,2021
2021-12-10,52.21,52.86,53.03,51.16,1.42M,0.06%,2021
2021-12-09,52.18,52.71,52.89,52.1,977.57K,-1.75%,2021
2021-12-08,53.11,53.47,53.98,52.96,1.29M,-0.51%,2021
2021-12-07,53.38,53.34,54.42,53.17,1.43M,2.16%,2021
2021-12-06,52.25,52.03,53.13,50.58,1.44M,1.97%,2021
2021-12-03,51.24,53.13,53.65,51.02,1.30M,-2.29%,2021
2021-12-02,52.44,50.61,52.7,50.33,1.56M,3.13%,2021
2021-12-01,50.85,53.21,53.79,50.72,1.39M,-1.51%,2021
2021-11-30,51.63,52.73,53.16,51.09,1.82M,-4.32%,2021
2021-11-29,53.96,55.65,55.78,53.92,1.60M,-0.94%,2021
2021-11-26,54.47,53.68,54.88,52.18,846.63K,-3.88%,2021
2021-11-24,56.67,55.0,56.76,54.77,1.16M,1.98%,2021
2021-11-23,55.57,54.79,55.79,54.19,1.48M,3.27%,2021
2021-11-22,53.81,53.68,54.58,53.39,939.67K,0.49%,2021
2021-11-19,53.55,53.5,53.88,52.7,1.46M,-1.85%,2021
2021-11-18,54.56,54.6,55.28,53.8,1.19M,-0.11%,2021
2021-11-17,54.62,54.11,55.72,54.11,1.03M,-0.11%,2021
2021-11-16,54.68,55.32,55.44,54.2,1.03M,-0.83%,2021
2021-11-15,55.14,54.79,55.7,53.98,1.18M,1.70%,2021
2021-11-12,54.22,54.96,55.25,53.89,1.72M,-1.86%,2021
2021-11-11,55.25,54.53,55.4,54.53,1.51M,0.77%,2021
2021-11-10,54.83,56.77,57.09,54.41,1.39M,-4.21%,2021
2021-11-09,57.24,57.84,57.98,56.79,1.47M,-1.02%,2021
2021-11-08,57.83,57.2,58.18,56.87,1.56M,2.03%,2021
2021-11-05,56.68,56.74,56.87,55.98,1.23M,1.25%,2021
2021-11-04,55.98,55.26,57.08,55.04,1.56M,1.82%,2021
2021-11-03,54.98,55.29,55.93,54.77,1.30M,-1.12%,2021
2021-11-02,55.6,55.87,56.5,55.1,1.48M,-0.45%,2021
2021-11-01,55.85,55.4,56.06,54.74,1.37M,2.16%,2021
2021-10-29,54.67,55.22,55.51,54.28,1.09M,-1.03%,2021
2021-10-28,55.24,54.47,55.3,54.26,881.74K,0.77%,2021
2021-10-27,54.82,55.63,55.99,54.69,947.59K,-2.44%,2021
2021-10-26,56.19,57.02,57.47,56.08,745.59K,-1.06%,2021
2021-10-25,56.79,56.85,57.11,56.3,1.08M,1.03%,2021
2021-10-22,56.21,55.97,56.25,54.91,709.97K,0.92%,2021
2021-10-21,55.7,56.46,56.81,55.11,1.02M,-1.88%,2021
2021-10-20,56.77,56.17,57.06,55.81,943.02K,1.01%,2021
2021-10-19,56.2,56.7,56.81,55.88,788.26K,-0.28%,2021
2021-10-18,56.36,56.29,57.05,55.62,1.09M,1.17%,2021
2021-10-15,55.71,55.73,56.45,55.59,959.89K,0.91%,2021
2021-10-14,55.21,55.0,55.54,54.63,937.58K,1.81%,2021
2021-10-13,54.23,53.22,54.26,52.63,887.57K,0.86%,2021
2021-10-12,53.77,52.9,54.39,52.67,1.32M,1.41%,2021
2021-10-11,53.02,53.5,53.87,52.62,849.66K,0.59%,2021
2021-10-08,52.71,52.68,52.96,52.1,777.33K,0.76%,2021
2021-10-07,52.31,51.93,52.71,51.71,1.21M,0.83%,2021
2021-10-06,51.88,51.36,52.22,50.33,1.65M,-0.65%,2021
2021-10-05,52.22,52.86,53.22,51.55,1.35M,0.29%,2021
2021-10-04,52.07,51.17,52.69,50.95,2.00M,2.56%,2021
2021-10-01,50.77,49.52,50.83,49.17,1.73M,3.17%,2021
2021-09-30,49.21,49.77,50.02,48.79,2.39M,-0.59%,2021
2021-09-29,49.5,49.46,49.89,48.69,1.71M,0.36%,2021
2021-09-28,49.32,50.14,50.51,48.98,1.62M,-0.28%,2021
2021-09-27,49.46,48.35,49.71,48.35,1.61M,4.30%,2021
2021-09-24,47.42,47.16,47.64,46.8,832.71K,-0.04%,2021
2021-09-23,47.44,46.31,47.58,46.1,1.21M,3.09%,2021
2021-09-22,46.02,45.37,46.68,45.37,1.05M,2.86%,2021
2021-09-21,44.74,44.95,45.24,44.23,1.25M,1.41%,2021
2021-09-20,44.12,43.63,44.19,43.22,1.47M,-2.04%,2021
2021-09-17,45.04,46.11,46.57,44.89,3.30M,-2.55%,2021
2021-09-16,46.22,46.6,46.63,45.75,1.23M,-1.05%,2021
2021-09-15,46.71,44.88,46.76,44.88,1.25M,5.68%,2021
2021-09-14,44.2,45.16,45.3,43.93,867.85K,-1.21%,2021
2021-09-13,44.74,44.3,45.15,44.13,955.99K,2.87%,2021
2021-09-10,43.49,44.62,44.9,43.47,898.64K,-1.07%,2021
2021-09-09,43.96,43.79,44.64,43.59,1.23M,-0.77%,2021
2021-09-08,44.3,44.71,45.09,44.08,1.18M,-0.27%,2021
2021-09-07,44.42,44.65,45.49,44.34,1.41M,-1.40%,2021
2021-09-03,45.05,45.12,45.57,44.74,730.68K,0.00%,2021
2021-09-02,45.05,44.23,45.2,44.23,978.00K,2.88%,2021
2021-09-01,43.79,43.97,44.01,43.22,1.46M,-0.30%,2021
2021-08-31,43.92,44.04,44.51,43.73,1.89M,-0.59%,2021
2021-08-30,44.18,45.16,45.35,44.16,1.01M,-2.15%,2021
2021-08-27,45.15,43.86,45.39,43.86,1.41M,3.63%,2021
2021-08-26,43.57,44.14,44.37,43.4,1.19M,-1.78%,2021
2021-08-25,44.36,43.8,44.76,43.4,1.28M,1.02%,2021
2021-08-24,43.91,43.64,44.09,43.28,1.19M,1.95%,2021
2021-08-23,43.07,42.93,43.55,42.86,1.08M,2.92%,2021
2021-08-20,41.85,40.92,41.88,40.65,1.01M,1.78%,2021
2021-08-19,41.12,41.64,42.21,40.52,1.91M,-3.16%,2021
2021-08-18,42.46,43.23,43.44,42.33,1.57M,-1.78%,2021
2021-08-17,43.23,42.57,43.73,42.35,1.94M,0.49%,2021
2021-08-16,43.02,43.59,44.07,42.96,1.44M,-2.09%,2021
2021-08-13,43.94,44.05,44.32,43.6,1.04M,-0.86%,2021
2021-08-12,44.32,44.33,44.78,43.76,723.01K,0.29%,2021
2021-08-11,44.19,43.93,44.29,43.15,1.66M,-0.47%,2021
2021-08-10,44.4,42.92,44.67,42.75,1.60M,4.13%,2021
2021-08-09,42.64,42.22,42.92,41.7,951.83K,-0.56%,2021
2021-08-06,42.88,43.0,43.43,42.71,1.17M,1.13%,2021
2021-08-05,42.4,39.4,43.49,39.06,1.65M,2.39%,2021
2021-08-04,41.41,41.29,42.55,40.8,1.61M,-1.69%,2021
2021-08-03,42.12,41.3,42.12,40.31,1.35M,1.42%,2021
2021-08-02,41.53,42.33,43.39,41.53,907.17K,-1.38%,2021
2021-07-30,42.11,42.66,43.03,41.98,808.41K,-1.91%,2021
2021-07-29,42.93,43.03,43.28,42.45,705.81K,0.16%,2021
2021-07-28,42.86,42.49,43.26,41.55,982.23K,1.85%,2021
2021-07-27,42.08,43.02,43.03,41.57,956.10K,-3.24%,2021
2021-07-26,43.49,42.94,43.6,42.8,1.25M,2.28%,2021
2021-07-23,42.52,42.55,42.78,41.96,954.70K,-0.72%,2021
2021-07-22,42.83,42.83,43.08,42.15,823.34K,0.00%,2021
2021-07-21,42.83,42.29,43.61,42.29,1.77M,3.28%,2021
2021-07-20,41.47,40.51,41.7,39.75,2.44M,3.57%,2021
2021-07-19,40.04,39.77,40.48,38.81,2.34M,-3.12%,2021
2021-07-16,41.33,42.54,42.54,41.22,1.43M,-1.55%,2021
2021-07-15,41.98,42.34,42.76,41.58,1.89M,-2.44%,2021
2021-07-14,43.03,44.98,45.52,42.82,1.79M,-3.06%,2021
2021-07-13,44.39,44.24,44.59,44.0,1.97M,-0.60%,2021
2021-07-12,44.66,44.37,45.05,44.15,1.30M,-0.84%,2021
2021-07-09,45.04,43.85,45.08,43.39,1.28M,3.99%,2021
2021-07-08,43.31,42.41,43.83,42.13,1.46M,0.39%,2021
2021-07-07,43.14,43.88,44.37,42.98,1.98M,-1.91%,2021
2021-07-06,43.98,44.65,44.65,43.39,1.47M,-1.83%,2021
2021-07-02,44.8,44.55,44.93,44.05,940.31K,0.04%,2021
2021-07-01,44.78,45.31,45.6,44.28,1.34M,0.74%,2021
2021-06-30,44.45,44.33,44.9,44.01,1.63M,1.25%,2021
2021-06-29,43.9,44.43,44.74,43.88,1.16M,-0.34%,2021
2021-06-28,44.05,45.0,45.12,43.28,2.33M,-2.78%,2021
2021-06-25,45.31,45.77,45.89,45.06,2.51M,-0.61%,2021
2021-06-24,45.59,45.55,45.69,45.01,1.59M,0.75%,2021
2021-06-23,45.25,46.0,46.04,45.25,1.53M,-0.31%,2021
2021-06-22,45.39,45.21,45.66,44.22,1.98M,-0.70%,2021
2021-06-21,45.71,44.99,45.9,44.7,1.87M,3.46%,2021
2021-06-18,44.18,44.64,45.36,44.03,3.55M,-2.60%,2021
2021-06-17,45.36,48.95,49.1,44.96,3.11M,-7.35%,2021
2021-06-16,48.96,47.57,49.16,47.41,2.60M,2.64%,2021
2021-06-15,47.7,47.57,48.27,47.08,2.44M,1.34%,2021
2021-06-14,47.07,47.36,48.16,46.56,2.16M,0.30%,2021
2021-06-11,46.93,46.75,47.2,46.59,1.93M,0.82%,2021
2021-06-10,46.55,45.75,46.68,45.1,2.52M,2.96%,2021
2021-06-09,45.21,47.0,47.48,45.04,4.17M,-4.07%,2021
2021-06-08,47.13,47.24,48.29,46.61,40.19M,-0.44%,2021
2021-06-07,47.34,46.38,48.35,46.3,7.49M,2.33%,2021
2021-06-04,46.26,45.41,46.46,44.68,11.43M,12.28%,2021
2021-06-03,41.2,40.55,41.39,40.27,1.52M,1.50%,2021
2021-06-02,40.59,40.0,40.82,39.67,1.53M,1.78%,2021
2021-06-01,39.88,39.66,40.07,39.09,1.61M,2.62%,2021
2021-05-28,38.86,39.0,39.05,38.5,1.32M,0.26%,2021
2021-05-27,38.76,38.0,38.8,37.98,2.53M,2.32%,2021
2021-05-26,37.88,37.49,38.18,37.28,1.19M,1.61%,2021
2021-05-25,37.28,38.49,38.71,37.13,2.06M,-3.54%,2021
2021-05-24,38.65,38.73,39.01,38.13,1.22M,0.23%,2021
2021-05-21,38.56,38.95,39.22,38.56,1.46M,-0.23%,2021
2021-05-20,38.65,38.12,38.82,37.44,1.10M,1.39%,2021
2021-05-19,38.12,37.71,38.34,37.23,1.54M,-1.04%,2021
2021-05-18,38.52,39.05,39.28,38.48,1.14M,-1.36%,2021
2021-05-17,39.05,38.45,39.2,38.19,1.33M,1.38%,2021
2021-05-14,38.52,38.08,38.71,37.91,1.43M,2.77%,2021
2021-05-13,37.48,37.18,38.19,36.52,1.80M,-0.72%,2021
2021-05-12,37.75,38.0,38.96,37.48,1.87M,0.53%,2021
2021-05-11,37.55,36.92,37.85,36.25,2.31M,-0.48%,2021
2021-05-10,37.73,38.5,38.93,37.71,1.81M,-1.31%,2021
2021-05-07,38.23,37.17,38.45,36.83,2.12M,2.88%,2021
2021-05-06,37.16,36.52,37.55,36.19,3.17M,2.00%,2021
2021-05-05,36.43,35.99,36.98,35.54,1.96M,2.68%,2021
2021-05-04,35.48,35.62,36.07,35.21,1.85M,-0.17%,2021
2021-05-03,35.54,35.12,35.73,34.81,2.89M,2.45%,2021
2021-04-30,34.69,34.36,35.27,34.36,2.26M,-0.32%,2021
2021-04-29,34.8,34.79,35.09,33.87,2.17M,0.78%,2021
2021-04-28,34.53,34.14,34.87,34.14,1.87M,1.83%,2021
2021-04-27,33.91,34.13,34.5,33.59,1.41M,-0.82%,2021
2021-04-26,34.19,34.02,34.55,33.81,1.68M,0.74%,2021
2021-04-23,33.94,32.93,33.96,32.61,1.49M,3.57%,2021
2021-04-22,32.77,32.84,33.06,32.39,1.51M,0.18%,2021
2021-04-21,32.71,31.82,32.8,31.52,1.18M,1.49%,2021
2021-04-20,32.23,32.92,32.92,31.37,2.02M,-2.27%,2021
2021-04-19,32.98,33.08,33.67,32.87,1.50M,-1.20%,2021
2021-04-16,33.38,33.62,33.77,33.25,1.63M,0.12%,2021
2021-04-15,33.34,33.04,33.48,32.43,1.19M,1.52%,2021
2021-04-14,32.84,32.52,33.11,32.06,1.66M,3.79%,2021
2021-04-13,31.64,31.22,31.88,30.61,1.59M,1.15%,2021
2021-04-12,31.28,31.33,31.72,31.1,1.03M,0.77%,2021
2021-04-09,31.04,31.37,31.49,30.7,1.32M,-1.49%,2021
